股票代码,股息率_L12M_派息日,股本回报率_Y,收入增长_L4Q,流动比率_L4Q,对数流通市值,换手率_30D,动量_9M_调整,盈利收益_L4Q,波动率_250D
601216,0,0.14033,0.01834,0.50547,1.91896,0.00291,-0.10747,0.10880 ,0.021245
601225,0.04603,0.25495,0.22034,1.21522,2.01423,0.00199,-0.08503,0.22804 ,0.015589
601229,0.04253,0.13419,0.07162,--,0.53144,0.002,0.00674,0.17430 ,0.010804
601236,0,--,--,--,-0.61404,0.10748,--,0.00311 ,0.043215
601238,0.02592,0.14759,-0.09985,1.62738,2.75332,0.00409,0.02623,0.06759 ,0.022182
601288,0.05207,0.13764,0.00434,--,1.74995,0.00084,-0.0491,0.18189 ,0.007889
601298,0.06592,0.1712,--,1.63697,0.46361,0.00372,-0.20247,0.08607 ,0.023557
601318,0.01594,0.21402,0.21972,--,2.74563,0.00819,-0.06586,0.13031 ,0.016562
601319,0,0.09964,--,--,0.50349,0.0077,-0.25767,0.11469 ,0.023409
601328,0.05894,0.11755,0.03834,--,0.87115,0.00232,-0.11062,0.20428 ,0.009031
601336,0,0.12253,0.06988,--,1.12145,0.00693,-0.14042,0.10737 ,0.021989
601360,0.0026,0.17284,0.05066,4.23306,1.56928,0.01842,0.08923,0.04476 ,0.029795
601377,0,0.01617,1.97611,--,0.64189,0.00638,0.02468,0.03661 ,0.021827
601390,0.0222,0.08899,0.16876,1.05116,3.0607,0.0033,-0.17196,0.15914 ,0.015499
601398,0.04933,0.13807,0.07607,--,1.93347,0.00079,-0.02691,0.17193 ,0.009154
601555,0.00976,0.01675,0.23901,--,0.31751,--,-0.11213,0.03896 ,0.027854
601577,0.03553,0.16414,0.14339,--,-0.91551,0.01091,-0.11187,0.18620 ,0.016197
601600,0,0.02415,0.17277,0.77865,1.874,0.00365,-0.20699,0.01450 ,0.017369
601601,0.03677,0.12491,0.06719,--,1.65959,0.00445,-0.06287,0.11689 ,0.018905
601607,0.0215,0.1035,0.15145,1.339,1.72749,0.02984,0.12656,0.08383 ,0.020447
601618,0.02662,0.07571,0.25375,1.14314,2.3739,0.00314,-0.15583,0.14656 ,0.017624
601628,0.00632,0.03681,0.24662,--,2.48809,0.00091,0.09517,0.06976 ,0.021992
601633,0.03457,0.10295,0.18006,1.32424,2.51273,0.00386,-0.00581,0.05537 ,0.026936
601668,0.03219,0.14939,0.14547,1.28351,3.75947,0.00477,-0.0866,0.28103 ,0.016438
601669,0.02391,0.07701,0.21524,1.01788,2.33798,0.00376,-0.23385,0.17299 ,0.016793
601688,0,0.05339,0.54381,--,1.449,0.00742,-0.13349,0.04452 ,0.022742
601698,0,--,--,1.57693,0.0095,0.05595,--,0.00195 ,0.048419
601727,0,0.0759,0.19492,1.25268,2.59616,0.00221,-0.13749,0.07192 ,0.01982
601766,0,0.08917,0.18947,1.20228,4.66216,0.00235,-0.19934,0.07692 ,0.013787
601788,0.00883,0.00494,0.49408,--,0.66448,0.00427,0.07789,0.02546 ,0.023043
601800,0.0269,0.09741,0.11857,1.01738,3.06883,0.00604,-0.27567,0.15236 ,0.021512
601808,0.00566,0.00256,0.39324,1.2392,1.47211,0.00602,0.84554,0.04219 ,0.028036
601818,0.0451,0.11873,0.17024,--,0.68321,0.00306,0.00306,0.19953 ,0.014414
601828,0.027,0.10547,0.12415,0.63133,0.0226,0.01227,-0.11942,0.12296 ,0.019537
601838,0.04611,0.16531,0.07023,--,-0.5811,0.00754,-0.03824,0.19208 ,0.013584
601857,0.01833,0.05186,0.02833,0.80439,4.07634,0.00064,-0.22016,0.06969 ,0.010624
601877,0.02553,0.17571,0.11673,1.37459,2.56046,0.00483,0.19646,0.07650 ,0.020622
601878,0.0066,0.06785,0.43434,--,-0.24845,0.03326,0.12045,0.02738 ,0.029192
601881,0.00911,0.04468,1.31261,--,0.9324,0.00697,-0.11444,0.04900 ,0.02872
601888,0.00728,0.23427,-0.13649,2.94008,3.57469,0.00828,-0.02573,0.03707 ,0.021566
